"Opportunity Name","Opportunity Type","Description","Organization","Grade Level","Financial Aid","State","Cost","Start Date","End Date","Deadline Date","Contact First Name","Contact Last Name","Contact Phone Number","Contact Email","Application URL","Opportunity Category","GPA","Race","Gender","Major","Recommendation","Essay","Renewable","Scholarship Amount"
"Summer Theater Camp","Summer Opportunity ","The July 12-25 Summer Camp is canceled.
The camp staff will be contacting everyone who sent in an application to work on refunding their deposit.

Texas State Theatre Camp

Texas State University and the Department of Theatre and Dance are committed to excellence in the camps' workshops, teaching, and productions. We are committed to the process of training and production that encourages thinking, responsive individuals in a diverse society. We view the training and practice of theatre as necessary and integral to our lives. Workshop participants, Texas State faculty, and Camp Staff are dedicated to providing the students an environment for optimum learning.

Overview
During the two weeks of our camp, students will participate in theatre classes taught by Texas State University faculty and guest instructors.  Each student will audition for and be cast in a one-act play that will be performed for an audience of family and friends at the end of the two weeks.","Summer Camp: Department of Theater and Art","9, 10, 11, 12","Yes","Texas","$1,000.00","7/12/2021","7/25/2021","5/15/2021","Texas","State","512.245.2147

","d_a143@txstate.edu","https://www.theatreanddance.txstate.edu/Programs/Summer-Camp.html","Arts Design and Communication","","","","","","","",""
"Wonderworks: Moving Pictures","Summer Opportunity ","Moving Pictures can’t promise you a Hollywood ending, but it can help get you ready for your close-ups, tracking shots, story conferences, sound mixes, and final wraps. You’ll acquire an understanding of lighting, cinematography, production design, continuity, dramatic structure, location scouting, editing and a host of other concepts and skills essential to filmmaking.","Wonder Works Houston","10, 11,12","Yes","Texas","$1,000.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/moving-pictures","Arts Design and Communication","","","","","","","",""
"Wonderworks: Play By Play","Summer Opportunity ","Summer is the time when the muse of theater lets her hair down and tries out something different – old or new, reimagined or restored. Play by Play can help you channel your inner Meryl Streep or Lin-Manuel Miranda as part of a not-quite-ready-for-prime-time ensemble where stagecraft and occasional magic are par for the course. In the mornings for the first three weeks you’ll take part in acting classes and preliminary read-throughs, blocking, and rehearsals, led by an UIL competition winning director and his assistants. In the afternoons, you’ll watch some of the best plays ever captured on film, many of which are off the beaten path but totally captivating, introduced, screened, and discussed from an acting as well as literary point of view, as they would be in college. You’ll also scroll through short readings- interviews, reviews, profiles, and excerpts from plays themselves. For the final two weeks, you’ll shift into an intensive full production/rehearsal mode, leading line by line, act by act, to a concluding evening performance for friends and family. No prior theatrical experience is presumed or required. You provide the passion and learn your lines – we’ll do the rest.","Wonder Works Houston","10, 11,12","Yes","Texas","$1,000.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/play-by-play","Arts Design and Communication","","","","","","","",""
"Genesis at Brandeis","Summer Opportunity ","Join a unique online Jewish learning and community-building program that leverages the exceptional assets of Brandeis University and gives you the opportunity to learn, create and grow both academically and Jewishly. The 2020 online courses available for study are (students choose one course): Creative Writing, Theatre Arts and Global Religions.","Brandeis University","9,10,11,12","Yes","Massachusetts","$1,050.00","7/6/2021","7/25/2021","5/1/2021","Laura","Hyman","(781) 736-8416","laurahyman@brandeis.edu","http://www.brandeis.edu/precollege/genesis/index.html","Law Government and Social Studies","","","","","","","",""
"Foundation for Teaching Economics:Econ for Leaders","Summer Opportunity ","Economics for Leaders (EFL) is a selective summer program that teaches student leaders how to integrate economics into the process of decision-making in an interactive virtual learning environment.","University of Colorado","9, 10,11, 12","Yes","Colorado","$1,100.00","6/15/2021","6/19/2021","1/1/2021","Economics","Foundation","530-757-4630","information@fte.org","https://www.fte.org/students/economics-for-leaders-program","Leadership Business and Finance","","","","","","","",""
"Coastal Ocean Science Academy - Marine Science Center - High School Program","Summer Opportunity ","The Coastal Ocean Science Academy (COSA) is a marine science summer day program that aims to introduce and connect young people to local marine and coastal habitats and the factors that shape them. The program is based at MSC_Сйs campus on the rocky shore of Nahant, but includes off-site field trips to field locations both on and off the water. л_Please see and share thisл_program flyerл_with any potentially interested students.
 Many students from underserved communities across our region wish to participate in COSA but are unable due to their financial circumstances. Thanks to the generous support of individual donors, we are able to offer some scholarships. Please consider making a gift to the COSA Scholarship Fund today by contacting Patty Flint atл_p.flint@neu.eduл_or 617.373.7356.
 Information about the 2016 programs will be live by the end of January. л_In 2015, we offeredл_a week-long middle school program and a 2-week-long high school program. Both run from 8:30 a.m. to 3:00 p.m. each day, and they begin/end each day at the Marine Science Center in Nahant.
 Theл_Littorinaл_program exposes students entering seventhл_and eighthл_grades to local coastal and marine habitats, including the sandy beach, rocky shore, open water/harbor, and coastal wetlands. This is a one-week, field-trip based program where students will learn how to keep a field notebook and take basic measurements of weather, water quality, and biodiversity in different coastal habitats, all the while exploring the relationship between these parameters. Participation will well-equip students to enter the research/project-based Coastal Ocean Science Academy for high schoolers in the future. The Middle School Program runs from Monday, July 20 through Friday, July 24, 2015. Maximum group size is 20.
 Students enrolled in this introductory marine biology program will learn about coastal and marine habitats and develop basic research skills. Topics covered include identifying and classifying marine organisms, monitoring water quality, measuring species richness and diversity, and analyzing survey results. Students will also explore threats to coastal and marine resources. Field studies take place at a salt marsh, sandy beach, rocky shore, and on open water. The High School Program runs Monday through Friday from August 3-14, 2015. Maximum group size is 20.
 Building on knowledge learned inл_Chondrus, Pagurusл_students will deepen their knowledge of local coastal ecology and habitats through student-led field investigation. Staff will facilitate student inquiry and research in topics of their own choosing.л_ Ample access to field sites for data collection will be provided, as well as guidance in developing sound research questions, methodologies, analyzing data, and presenting results. The High School Program runs Monday through Friday from August 3-14, 2015.л_It is possible that Pagurus students will return to field sites previously visited (which is what scientists do!) Pagurus students will play a role in explaining fieldwork protocols to Chondrus students, but they will also have some separate opportunities presented at a level that assumes their prior knowledge and advanced interest in marine science.
 In 2015, with support from the MSC_Сйs Helmuth Lab, students in COSA Pagurus partnered with girls from the Beach Sisters program to produce an interactive virtual tour of the Forest River Conservation Area in Salem. л_Students conducted field data and collected other assets to annotate the _СТcanvas_Сќ of several high resolution images. л_The final product can be viewed here, and you can read a news article about it here.
 For those without transportation to Nahant, a daily shuttle van to the MSC is available from 3 MBTA stations _СР Ruggles, Wonderland, or Lynn/Central Square _СР for an additional cost.л_The shuttle will depart from Boston at 7:30 a.m. and return to Boston at 4:00 p.m., making stops at Lynn and Wonderland on the way to and from Nahant. Space on the shuttle is limited.
 Instructions on how to remit a deposit and payments can be found in the application pack.л_Fees include all equipment, student materials, t-shirt, transportation to off-site field locations, entry for all fee-based field experiences, daily lunch, and snacks.
 In 2015, there are a limited number of full and partial scholarships available to students residing in the following communities: Boston, Chelsea, Everett, Lawrence, Lowell, Lynn, Malden, Revere, Salem, and Somerville. л_Instructions for how to apply for a scholarship are in the application pack. л_The deadline for scholarship applications is May 15th, 2015.
 Registration will take place on a first-come, first-serve basis to fill a limited number of slots. For more information, and to apply for the program, please download the application pack, which will be available by the end of January 2016:
 Please contact Val Perini at v.perini@neu.eduл_or call 781.581.7370, x373 with any questions.","Northeastern University","9,10,11,12","Yes","Massachusetts","$1,200.00","8/10/2021","8/21/2021","6/19/2021","Emily","Duwan","617.373.7356","e.duwan@northeastern.edu","http://www.northeastern.edu/cos/marinescience/outreach/coastal-ocean-science-academy/","Technology Math and Engineering","","","","","","","",""
"Wonderworks: By Design","Summer Opportunity ","Architecture combines practical considerations of function and sustainability with a poetics of form and meaning. Although architecture may take years to master, those who study it in college have usually harbored an intense curiosity since at least their early teens. This introductory studio with accompanying lectures and field trips will give you a broader, deeper understanding of the subject and also the opportunity to develop a portfolio for use in applying to schools of architecture should you eventually wish to do so.","Wonder Works Houston","10, 11,12","Yes","Texas","$1,250.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/by-design","Arts Design and Communication","","","","","","","",""
"Gettysburg College Camp Psych PreCollege","Summer Opportunity ","Summer Camp in Psychology
 Camp Goals/Overview Sample Day Camp DirectorsRole of RAs/TAsComments from Past Campers and Their ParentsFAQs: Registration & Logistics, Camp Life, Health/Medical Concerns, College Preparation Details at a glance Application Information
 Camp Goals / Overview The goal of Camp Psych is to provide a window into how psychological science works. What are some of the major questions investigated by psychologists? Campers will get hands-on experiences that introduce them to research in psychology in a fun, challenging, and engaging environment. Campers will not simply learn about cutting edge issues and research in psychology; they will engage in research themselves. Perfect for students interested in psychology, this camp gives students an insider view of the field as well as preparation for college studies.
 Camp Directors Drs. Brian P. Meier and Abigail A. Scholer, social psychologists with extensive experience in psychological research and teaching, are the directors of Camp Psych. Drs. Meier and Scholer have published over 70 papers in prestigious journals in psychology, regularly present at major psychological conferences, and have received grants, awards, and fellowships for both teaching and research. Brian Meier received both his B.S. and Ph.D. from North Dakota State University and is now an Associate Professor at Gettysburg College. Abigail Scholer, an alumna of Gettysburg College ('00), went on to receive her Ph.D. from Columbia University and is now an Associate Professor at the University of Waterloo. Both are thrilled to team up to direct Camp Psych at Gettysburg College. Their passion for psychology is infectious. Their classes are structured so that students are not only introduced to the fundamentals of psychological research methods but also get hands-on experience and opportunities to apply skills to real-world issues.
 Role of RAs/TAs Campers will live in a college residence hall with resident advisors, psychology majors at Gettysburg College. Resident advisors are selected based on their expertise in psychology and their maturity and experience. Resident advisors will work with students in and outside of class to support the goals of the camp and all aspects of the campers' experiences.
 Details at a Glance Where: Gettysburg College Campus When: June 26-July 1, 2016 How Much: $1,250 for lodging, meals, and activities Who: Rising high school sophomores, juniors, and seniors Application Deadline: Applications for the 2016 camp will open in December or January. Applications will be reviewed on a rolling basis beginning in January until the camp is full. We strongly encourage campers to apply early; your chances of being admitted to the camp are higher if you apply early. However, we do receive applications from many more qualified applicants than we can admit to our camp. Submitting an application does not guarantee acceptance. In making admissions decisions, we carefully review applicant statements and often contact teacher references. We will notify applicants as soon as possible after a decision has been made, but we note that it may take us several weeks after an application has been submitted to send a notification.
 Please check back later in the year for details about the 2016 camp.","Gettysburg College","9,10,11,12","Yes","Pennsylvania","$1,350.00","7/18/2021","7/23/2021","3/1/2021","Brian","Meier","","bmeier@gettysburg.edu","http://www.gettysburg.edu/camppsych/","Science Health and Medicine","","","","","","","",""
"Cornell Catalyst Academy","Summer Opportunity ","CATALYST Academy is a one-week residential program for rising high school juniors and seniors from underrepresented backgrounds who desire to learn about engineering and careers within an interactive milieu. This summer come to Cornell University and find out for yourself at the CATALYST Academy! Find out more about the program!","Cornell University","11,12","Yes","New York","$1,450.00","7/12/2021","7/18/2021","3/2/2021","Cornell","Diversity","607.255.6403","dpeng@cornell.edu","https://sites.coecis.cornell.edu/catalystacademy/","Technology Math and Engineering","","","","","","","",""
"Cornell: Curie Academy (Girls Only)","Summer Opportunity ","Curie Academy is a one-week residential program for high school girls who excel in math and science. The focus is on rising juniors and seniors who may not have had prior opportunities to explore engineering, but want to learn more about it in an interactive atmosphere. This summer come to Cornell University and explore the many possibilities awaiting you in engineering. Find out more about the program!","Cornell University","11,12","Yes","New York","$1,450.00","7/12/2021","7/18/2021","3/2/2021","Cornell","Diversity","607.255.6403","dpeng@cornell.edu","https://sites.coecis.cornell.edu/curieacademy/","Technology Math and Engineering","","","","","","","",""
"Student Enrichment - Curry School of Education","Summer Opportunity ","Curry School of Education
 Research and teaching within a school of education must be grounded in a public mission of engagement with the communities _СР local, regional, state and national. The core elements of Curry_Сйs engagement reflect those of the University of Virginia, whose founder Thomas Jefferson emphasized the pursuit of _СТuseful knowledge._Сќ The essential core elements for community engagement in the University and in Curry are (1) student learning and the application of new knowledge, (2) faculty advancement in both scholarship and teaching, and (3) an appreciation of each community_Сйs culture and unique needs.
 Curry_Сйs Community Engagement is designed to educate our students to be responsible scholars, to apply academic expertise to community problems, and to strengthen the civic mission of improving education in all areas and at all levels.
 Please note below resources that include Curry programs and clinics serving a broader community of citizen learners. In addition, a list of University of Virginia Community Partnerships and recent news articles are provided.","University of Virginia","9,10,11,12","Yes","Virginia","$1,490.00","7/5/2021","7/16/2021","2/15/2021","UVA","Summer","434-924-3182","curry-sep@virginia.edu","https://curry.virginia.edu/services-outreach/saturday-summer-enrichment-program/summer-enrichment-program","Law Government and Social Studies","","","","","","","",""
"Grammy Camp","Summer Opportunity ","GRAMMY Camp Los Angeles is a 5-day nonresidential summer music industry program for high school students interested in having a career in music. Hosted on the campus of USC Thornton School of Music in Los Angeles, students from across the country apply for one of the eight offered career tracks. GRAMMY Camp faculty of music professionals as well as guest industry professionals provide valuable insight to give the campers the best chance at achieving success in their chosen career.

GRAMMY Camp Miami is a 5-day nonresidential summer music industry program presented by Royal Caribbean for high school students interested in having a career in music. Hosted at Royal Caribbean's Entertainment Studio in Miami, students from across the country apply for one of the five offered career tracks. GRAMMY Camp faculty of music professionals as well as guest industry professionals provide valuable insight to give the campers the best chance at achieving success in their chosen career.","University of Southern California","9,10,11,12","Yes","California","$1,500.00","7/14/2021","7/18/2021","3/31/2021","Grammy","Schools","310-581-8668","areyounext@grammy.com","http://www.grammyintheschools.com/programs/grammy-camp","Arts Design and Communication","","","","","","","",""
"UCLA Nanoscience Lab Summer Institute","Summer Opportunity ","The CNSI Nanoscience Lab Summer Institute is an exclusive summer workshop for high school students interested in advanced science and technology. During this five day program, students have the unique opportunity to explore questions similar to those currently investigated by the scientific community. The program involves hands-on experiments that combine vigorous scientific methodologies and techniques with projects that are both fun and exciting. Moreover, these experiments, designed by UCLA researchers, teach students the key concepts of nanoscale phenomena that make nanoscience and nanotechnology one of the most exciting fields of research today.
 

 This course will be offered twice each summer. This program has overlapping contents with Applications of Nanoscience and applicants are discouraged from applying to attend both courses.","UCLA","10,11,12","Yes","California","$1,660.00","7/19/2021","7/24/2021","4/1/2021","Summer","UCLA","","info@summer.ucla.edu","http://www.summer.ucla.edu/institutes/NanoScienceLab","Technology Math and Engineering","","","","","","","",""
"Fundamentals of Business: Leadership in a Global Economy","Summer Opportunity ","Fundamentals of Business: Leadership in a Global Economy
 You will be introduced to business leadership, which provides an exceptional foundation for college and a future career in business. л_As a participant in this course, you will gain valuable exposure to important business topics and methods of analysis as you learn from Georgetown professors and leading experts in the field. Combining investment challenges and group presentations with dynamic faculty lectures and case studies, Fundamentals of Business helps students develop practical skills and critical thinking abilities that will benefit them in their future academic and professional lives. The course ends with a business simulation that takes students through the process of starting a company and being an entrepreneur.
 Students who are interested in Business may also be interested in a second course or program such as: Fundamentals of American Government Fundamentals of Economics Fundamentals of Law: The American Legal System Entrepreneurship Institute Law Institute Leadership Institute Sports Industry Management Institute
 л_ * Core topics and hands-on experience are subject to change. Faculty Biography Thomas Cooke, Academic Director
 He received his law degree (JD), master in laws (LLM) degree and master of laws in taxation (MLT) from the Georgetown University Law Center. Professor Cooke_Сйs legal career started as an Assistant State_Сйs Attorney for Montgomery County, Maryland. After serving as a state prosecutor, Prof. Cooke served as an Assistant Public Defender while maintaining a private law practice and pursuing graduate law degrees. Professor Cooke is the Academic Director of the Fundamentals of Business program for the Summer Programs for High School students.л_ From 1996-2006, Mr. Cooke served as the Editor of the Federal Tax Alert and the Tax Client Newsletter. Mr. Cooke was a member of the Board and Executive Director of the National Society of Tax Professionals.л_ Thomas Barry Cooke is a Distinguished Teaching Professor at the Robert E. McDonough School of Business, Georgetown University, Washington, DC. л_Today, Professor Cooke_Сйs areas of concentration include federal income taxation, tax ethics, tax practice and procedure, contract law, business planning, the regulatory environment of business and business ethics. Prof. Cooke is a recognized expert on the subject of the Foreign Corrupt Practices Act. In addition to teaching undergraduate courses in Federal Income Taxation, Professor Cooke shared responsibility for the 2002-2011 Global Experience Vietnam programs. Over a 10 year time period, Prof. Cooke traveled along with second-year MBA students (working on business projects) in Ho Chi Minh City and Hanoi Vietnam.","Georgetown University","9,10,11","Yes","Alabama","$1,800.00","7/12/2021","7/31/2021","1/15/2021","Georgetown","Summer-Programs","(202) 687-8700","highschool@georgetown.edu","https://summer.georgetown.edu/programs/SHS03/business-academy/schedule","Leadership Business and Finance","","","","","","","",""
"BME Summer Camp","Summer Opportunity ","Come to TCNJ for a week-long residential camp and learn about biomedical engineering. Work with biomedical engineers and students on projects ranging from medical imaging to drug delivery, from medical device design to neural engineering and more.","College of New Jersey","10,11,12","No","New Jersey","$1,889.00","7/19/2021","7/24/2021","4/1/2021","Biomedical","Engineering","609-771-2369","bme@tcnj.edu","https://bmesummercamp.tcnj.edu/","Technology Math and Engineering","","","","","","","",""
"Summer Residential Governor's School for Agriculture","Summer Opportunity ","Department of Agricultural, Leadership, and Community Education
 ""The memories and experiences that I now hold from that summer will be with me for a long time."" ~Zach Cappello, class of 2004
 The Virginia Summer Residential Governor's School for Agriculture (GSA) at Virginia Tech provides academically rigorous educational enhancement for future scientists and leaders of Virginia, the United States, and the world. GSA students interact with and learn directly from internationally known teachers, scientists, and researchers from Virginia Tech, a leading research university. Students attending the Virginia Summer Residential Governor's School for Agriculture at Virginia Tech will be selected from the most able rising juniors and seniors from the Commonwealth's public, private, and home schools.","Virginia Tech","10,11","Yes","Virginia","$2,000.00","6/22/2021","7/18/2021","2/25/2021","Curt","Friedel","(540) 231-6836","cfriedel@vt.edu","https://www.alce.vt.edu/signature-programs/governors-ag-school.html","Leadership Business and Finance","","","","","","","",""
"Summer College for High School Students - Three Week Session","Summer Opportunity ","In Ithaca College's pre-college summer program, high school students experience college life and an undergraduate college course. For summer 2020, this program is fully online, providing high school students a comprehensive academic, college readiness, and peer-to-peer ""residential"" program remotely.","Ithaca College","10, 11, 12","Yes","New York","$2,080.00","6/29/2021","7/31/2021","3/1/2021","Warren","Schlesinger","607-274-3143","summercollege@ithaca.edu","http://www.ithaca.edu/summercollege/","Law Government and Social Studies","","","","","","","",""
"Mock Trial Boot Camp","Summer Opportunity ","High School Summer Programs: Arts, Academics, Technology, Law, Community Service
 You can stay up to date on the latest news by reading ourл_blog, following us onл_Twitter, and liking us onл_Facebook!","Brandeis University","9,10,11,12","Yes","Massachusetts","$2,100.00","7/20/2021","7/24/2021","1/1/2021","Brandeis","Program","","precollege@brandeis.edu.","https://www.brandeis.edu/precollege/programs/index.html","Law Government and Social Studies","","","","","","","",""
"MathILy-Er","Summer Opportunity ","Do you want to explore and create mathematics? Then read on, for that's what MathILy-Er is all about! In MathILy-Er classes, instructors provide the framework and you get to make (and prove!) the conjectures. You will encounter new ideas, improve your problem-solving skills, learn lots and lots of advanced mathematics, and hone your overall thinking skills. You'll meet others like you. (Yes, really. We promise.)
 Most of all, you will find serious mathematics infused with levity. That phrase originates with the program MathILy. MathILy-Er is similar to MathILy, but is adapted for students who are slightly earlier in their chronology or mathematical development.
 MathILy-Er is five weeks of maximized mathematical marvelousness. Even if you're a master of mathematics, there is more to learn. And if you're not a master, we'll help you become one. Just want to have fun with math many hours each day? We can handle that with you, too.
 MathILy-Er is designed for students with an insatiable curiosity about mathematics, and who are creative and enthusiastic in their approaches to learning. We expect that participants will come from all over the United States and, perhaps, the world.
 Many summer mathematics experiences are organized on the principle that simply combining smart people with mathematics will result in learning and fun. This is a true principle---but why not do better? MathILy-Er promises a focused and individually tailored effort that elicits massive learning, enormous fun, and significant personal growth.
 Summer too packed? Check out our alter ego program, MathIGy.","Bryn Mawr College","10,11,12","Yes","Pennsylvania","$2,150.00","6/25/2021","7/29/2021","4/28/2021","Mathily","Program","","info@mathily.org","http://mathily.org/mathilyer/","Technology Math and Engineering","","","","","","","",""
"Introduction to Engineering Program at Notre Dame","Summer Opportunity ","Engineering. It is a profession of immense scope. From Aerospace and Mechanical Engineering to Chemical Engineering, from Computer Science and Engineering to Electrical Engineering, or Civil Engineering and Geological Sciences, the career opportunities are endless. So why not make it a major part of your life's plans? Today, men and women are successfully practicing engineering in a variety of companies around the world. Others are preparing themselves for careers in engineering. The College of Engineering at the University of Notre Dame would like to introduce you to the world of opportunities available in engineering. Give us just two weeks of the summer between your junior and senior years in high school, and we'll give you an introduction to engineering that includes:

• A taste of college life
• A chance to visit our campus and meet the faculty of the College of Engineering
• An update on career opportunities in engineering
• A look at the many facets of engineering
• An overview of the elements of engineering design and computer programming
• A tour of our state-of-the-art computer facilities
• A chance to meet professional engineers

Two weeks is a short time to introduce you to everything engineering offers. But, we think we can do it and still have time for some fun activities, meeting faculty members, and meeting other students from across the country who are also interested in engineering. Our ""Introduction to Engineering Program"" is interactive. It's guided in part by your interests and questions. We'll start with informal classroom lectures given by Notre Dame faculty and men and women currently employed as professional engineers.","University of Notre Dame","9,10,11,12","No","Indiana","$2,150.00","7/14/2021","7/27/2021","5/1/2021","Ramzi","Bualuan","574-631-7388","iep@nd.edu","https://www3.nd.edu/~iep/","Technology Math and Engineering","","","","","","","",""
"Young Writers Workshop","Summer Opportunity ","The Kenyon Review Young Writers Workshop
 Young Writers is an intensive two-week workshop for intellectually curious, motivated high-school students who value writing. Our goal is to help students develop their creative and critical abilities with language_СУto become better, more productive writers and more insightful thinkers. For more than nineteen years, Young Writers has provided a lively, supportive environment where students can stretch their talents, discover new strengths, and challenge themselves in the company of peers who share their interests.
 Young Writers takes place at Kenyon College, a leading liberal arts college renowned for its tradition of literary study. The program is sponsored by The Kenyon Review, one of the country_Сйs preeminent literary magazines.
 Writers discover what they want to say_СУtheir ideas, images, narrative direction_СУin the act of writing (and rewriting). Writing, thinking, and imagining, in other words, are part of the same creative process. Thus, at Young Writers, students write to explore ideas, then develop those ideas through further writing. Because good writers are also avid readers, students read short stories, poems, and essays, which they discuss, write about, and use as inspiration for their own work.
 Workshop groups (with no more than thirteen students in each group) meet for five hours a day. In addition to freewriting exercises and responses to _СТprompts,_Сќ students write stories, poetry, personal narratives, dialogues, reflective passages, and experimental pieces. They also use writing to explore, creatively and analytically, short works by established authors. While traditional expository essays are not assigned (nor is any work at Young Writers graded), a number of our exercises help students approach difficult texts, formulating their own questions and ideas_СУskills that will serve them well in writing papers for school and college.
 Sharing and discussion of participants_Сй work is a central part of the workshop. In leading discussions, instructors emphasize techniques for responding to work in ways that will help the writer recognize his or her strengths, potential, and avenues for productive revision. Instructors also meet with each student in individual conferences.
 Students especially value the opportunity to meet other talented writers and make new friends from all over the country. Workshop sessions are complemented by informal interchange during free time as well as by a series of public readings by visiting poets, fiction writers, and essayists. Several public sessions are reserved for Young Writers_СУevery student reads his or her work at one of these special occasions. In this atmosphere of high energy and camaraderie, students create their own community, one that persists long after the program has ended.
 Nestled among rolling hills in the village of Gambier, the Kenyon campus is known for its striking beauty. Its historic buildings and shaded lawns have nurtured excellent writers for generations. Students have full access to College recreational facilities, including basketball and tennis courts and a swimming pool. Weekend activities include social events and field trips.
 Young Writers is a two-week residential program. The total cost, including tuition, accommodations, all meals, and activities, is $2,375.
 Kenyon is committed to socioeconomic diversity, and some scholarship aid is available for students who demonstrate financial need as part of their application. To apply for scholarship aid, please check the box on the application form and send in the scholarship application form by March 1st.
 In addition to the online application form, each student must also submit a brief story or essay (not to exceed 300 words) that illustrates why he or she is interested in participating in the Young Writers program and what he or she might contribute to it. A teacher_Сйs letter of recommendation, a high school transcript, and an optional financial aid application must also be postmarked and/or submitted electronically no later than March 1st. The application site for 2016 will open in January 2016.","Kenyon College","10,11,12","Yes","Ohio","$2,275.00","7/28/2021","7/11/2021","3/1/2021","Kenyon","Writers","740-427-5391","youngwriters@kenyonreview.org","https://www.kenyonreview.org/workshops/young-writers/","Arts Design and Communication","","","","","","","",""
"UVM Summer Academy ","Summer Opportunity ","UVM Summer Academy is an outstanding, academically challenging 4-week online program for high school students who have completed 10th, 11th, or 12th grade and are interested in exploring a specific field of study.","University of Vermont","9,10,11,12","No","Vermont","$2,355.00","7/6/2021","7/31/2021","6/29/2021","Nicole","Hathaway","","Nichole.Hathaway@uvm.edu","https://learn.uvm.edu/pre-college/summer-academy/","Law Government and Social Studies","","","","","","","",""
"Bard College at Simon's Rock Young Writers Workshop","Summer Opportunity ","In the summer of 1983 Simon’s Rock began offering a three-week writing workshop for high school students modeled after the innovative three-week Workshop in Language and Thinking required of all entering students at Bard College. We are now part of the National Writing and Thinking Network, the largest consortium of summer writing programs in the country. Each year 84 academically motivated students are chosen to participate in the Simon's Rock program. Former participants have gone on to such colleges as Amherst, Bard, Harvard, Haverford, Kenyon, Princeton, Simon's Rock, Smith, Williams, and Yale.
 

 Male and female student smiling in classUnlike conventional workshops in expository and creative writing, Simon’s Rock’s focuses on using informal, playful, expressive writing as a way to strengthen skills of language and thinking. Out of these informal writing activities, using techniques of peer response, students develop more polished pieces, ranging from personal narratives to stories, poems, and exploratory essays.
 

 The workshop sections are small (12 students). This allows for individual attention to each student and helps to foster the sense of belonging to a supportive learning community in which students can feel comfortable exploring new directions in their writing and thinking. Trusting one's own language and voice, learning to think for oneself and in collaboration with others— these are the qualities and skills that the workshop strives to develop
 

 Each weekday consists of three 90-minute sessions organized as writing and discussion seminars. Workshop leaders write with their students, and there is frequent sharing of this informal writing, both in small groups and in the class as a whole. Discussions of assigned readings—mostly contemporary poems, stories, and essays—is informal and speculative. The emphasis isn't on arriving at a “correct answer” but on exploring various ideas about what a text is saying. The texts also frequently serve as starting points and models for students’ own creative writing exercises. These daily activities are complemented by evening assignments in reading, revising, and journal writing.
 

 Each week students develop a portfolio of “works in progress” and then meet individually with their workshop leader to discuss what they have written. Rather than evaluation, these meetings focus on what the writer is trying to do in his or her writing and how best to accomplish these goals. By becoming more conscious of their choices and strategies, students develop the intellectual autonomy expected of them as they prepare for college.
 

 Students live on campus in the college’s dormitories, along with adults who are members of the Simon's Rock student life staff. Aside from quiet hours and a curfew, students are free to organize their time in ways that fit their particular needs, whether that means preparing for the next day's class, socializing with friends, participating in a recreational activity, or attending an off-campus cultural event.
 

 All faculty are experienced teachers and writers with a special interest in the theory and practice of the nationally recognized Bard College Institute for Writing and Thinking. They are selected for the Simon’s Rock workshop because of their record of teaching excellence and their familiarity with the needs and abilities of younger writers.","Bard College","10,11,12","Yes","Massachusetts","$3,025.00","7/12/2021","8/1/2021","4/1/2021","Jamie","Hutchinson","413-528-7231","jamieh@simons-rock.edu","https://simons-rock.edu/academics/beyond-the-classroom/young-writers-workshop/index.php","Technology Math and Engineering","","","","","","","",""
"Summer Math Program For High School Students: Honors Summer Math Camp","Summer Opportunity ","Students who have gone through the HSMC's first-year program and are returning have the opportunity to conduct original math research projects that may be submitted to various contests and journals. The Honors Summer Math Camp has a strong record of producing award-winning research projects.  In 2009, a team from the HSMC won first place at the national level of the Siemens Competition, sharing a $100,000 college scholarship. We have had the honor of working with the Siemens competition every year since 2001. Through the years we have had 73 semifinalists teams, 25 regional finalists teams, and 5 national finalist teams. A full listing of HSMC research papers and results in the Siemens Competition is given here. Unfortunately, Siemens is no longer holding their competitions. However we will continue to have enriching original research projects that will be available for potential publication and sent to other competitions. The research is mentor driven and can provide opportunities to present at competitions (e.g. Intel) and opportunities for submissions to research journals. At Mathworks we value the skills and deeper understanding created through these research projects. The Honors Summer Math program offers second and third year students with an opportunity to gain first-hand research experience guided by Texas State University faculty. Student projects have also received awards in the Intel International Science and Engineering Fair, as well as publications in scholarly journals.

 
","Texas State University","9,10,11,12","Yes","Texas","$3,025.00","6/21/2021","8/1/2021","2/15/2021","Mathworks","Program","512-245-3439","mathworks@txstate.edu ","https://www.txstate.edu/mathworks/camps/Summer-Math-Camps-Information/hsmc.html","Technology Math and Engineering","","","","","","","",""
"Architecture Discovery Program","Summer Opportunity ","Architecture Discovery Program","Washington University","10,11","Yes","Missouri","$3,250.00","7/12/2021","7/25/2021","4/15/2021","Rachel","Yuon","","youn@wustl.edu","https://www.samfoxschool.wustl.edu/summer/adp","Arts Design and Communication","","","","","","","",""
